machineID,k,precision,recall,f1
56,1,1.0,0.3333,0.5
56,3,1.0,1.0,1.0
56,5,0.6,1.0,0.75
57,1,0.0,0.0,0.0
57,3,0.3333,1.0,0.5
57,5,0.2,1.0,0.3333
58,1,1.0,0.3333,0.5
58,3,0.6667,0.6667,0.6667
58,5,0.6,1.0,0.75
59,1,1.0,0.3333,0.5
59,3,1.0,1.0,1.0
59,5,0.6,1.0,0.75
60,1,1.0,1.0,1.0
60,3,0.3333,1.0,0.5
60,5,0.2,1.0,0.3333
61,1,0.0,0.0,0.0
61,3,0.6667,1.0,0.8
61,5,0.4,1.0,0.5714
62,1,1.0,0.3333,0.5
62,3,1.0,1.0,1.0
62,5,0.6,1.0,0.75
63,1,1.0,0.3333,0.5
63,3,1.0,1.0,1.0
63,5,0.6,1.0,0.75
64,1,1.0,0.3333,0.5
64,3,1.0,1.0,1.0
64,5,0.6,1.0,0.75
65,1,0.0,0.0,0.0
65,3,0.6667,0.6667,0.6667
65,5,0.6,1.0,0.75
66,1,1.0,0.5,0.6667
66,3,0.6667,1.0,0.8
66,5,0.4,1.0,0.5714
67,1,1.0,0.3333,0.5
67,3,1.0,1.0,1.0
67,5,0.6,1.0,0.75
68,1,0.0,0.0,0.0
68,3,0.6667,1.0,0.8
68,5,0.4,1.0,0.5714
69,1,1.0,0.3333,0.5
69,3,0.6667,0.6667,0.6667
69,5,0.6,1.0,0.75
70,1,0.0,0.0,0.0
70,3,0.6667,1.0,0.8
70,5,0.4,1.0,0.5714
71,1,1.0,0.25,0.4
71,3,1.0,0.75,0.8571
71,5,0.8,1.0,0.8889
72,1,0.0,0.0,0.0
72,3,0.3333,1.0,0.5
72,5,0.2,1.0,0.3333
73,1,1.0,0.25,0.4
73,3,1.0,0.75,0.8571
73,5,0.8,1.0,0.8889
74,1,1.0,0.5,0.6667
74,3,0.6667,1.0,0.8
74,5,0.4,1.0,0.5714
75,1,1.0,0.3333,0.5
75,3,1.0,1.0,1.0
75,5,0.6,1.0,0.75
76,1,1.0,0.3333,0.5
76,3,1.0,1.0,1.0
76,5,0.6,1.0,0.75
77,1,0.0,0.0,0.0
77,3,0.0,0.0,0.0
77,5,0.0,0.0,0.0
78,1,1.0,0.3333,0.5
78,3,0.6667,0.6667,0.6667
78,5,0.6,1.0,0.75
79,1,1.0,0.3333,0.5
79,3,1.0,1.0,1.0
79,5,0.6,1.0,0.75
80,1,1.0,1.0,1.0
80,3,0.3333,1.0,0.5
80,5,0.2,1.0,0.3333
81,1,1.0,0.5,0.6667
81,3,0.6667,1.0,0.8
81,5,0.4,1.0,0.5714
82,1,0.0,0.0,0.0
82,3,0.3333,0.5,0.4
82,5,0.4,1.0,0.5714
83,1,1.0,0.3333,0.5
83,3,1.0,1.0,1.0
83,5,0.6,1.0,0.75
84,1,1.0,0.5,0.6667
84,3,0.6667,1.0,0.8
84,5,0.4,1.0,0.5714
85,1,1.0,0.25,0.4
85,3,1.0,0.75,0.8571
85,5,0.8,1.0,0.8889
86,1,0.0,0.0,0.0
86,3,0.6667,1.0,0.8
86,5,0.4,1.0,0.5714
87,1,1.0,0.3333,0.5
87,3,1.0,1.0,1.0
87,5,0.6,1.0,0.75
88,1,1.0,0.3333,0.5
88,3,1.0,1.0,1.0
88,5,0.6,1.0,0.75
89,1,1.0,0.3333,0.5
89,3,1.0,1.0,1.0
89,5,0.6,1.0,0.75
90,1,1.0,0.3333,0.5
90,3,1.0,1.0,1.0
90,5,0.6,1.0,0.75
91,1,1.0,0.3333,0.5
91,3,1.0,1.0,1.0
91,5,0.6,1.0,0.75
92,1,1.0,0.3333,0.5
92,3,1.0,1.0,1.0
